algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
mlr,0.535,0.319,0.354,0.111,0.447,0.5,0.064,0.458,0.4,0.686,0.164,0.128,0.144,0.164,0.15,0.122,0.146,0.146,0.153,0.132,bands_1
mlr,0.481,0.489,0.534,0.306,0.288,0.404,0.336,0.516,0.43,0.291,0.161,0.135,0.143,0.157,0.156,0.145,0.146,0.155,0.123,0.135,bands_2
mlr,0.424,0.394,0.471,0.19,0.369,0.476,0.407,0.382,0.27,0.498,0.129,0.142,0.164,0.162,0.157,0.132,0.127,0.184,0.146,0.144,bands_3
mlr,0.388,0.384,0.261,0.28,0.292,0.166,0.4,0.471,0.428,0.395,0.18,0.134,0.178,0.168,0.14,0.167,0.144,0.138,0.145,0.147,bands_4
mlr,0.303,0.087,0.366,0.272,0.367,0.321,0.254,0.31,0.301,0.296,0.149,0.172,0.128,0.169,0.154,0.158,0.164,0.159,0.188,0.174,bands_5
mlr,0.385,0.5,0.485,0.258,0.269,0.651,0.0,0.398,0.446,0.462,0.142,0.116,0.113,0.156,0.139,0.133,0.188,0.158,0.136,0.178,bands_1
mlr,0.581,0.577,0.352,0.445,0.631,0.633,0.553,0.357,0.6,0.569,0.155,0.115,0.108,0.117,0.127,0.126,0.118,0.155,0.122,0.12,bands_2
mlr,0.668,0.65,0.777,0.34,0.486,0.457,0.178,0.585,0.271,0.425,0.105,0.133,0.112,0.121,0.121,0.142,0.142,0.146,0.159,0.12,bands_3
mlr,0.371,0.577,0.513,0.549,0.666,0.443,0.331,0.721,0.682,0.308,0.168,0.134,0.098,0.134,0.128,0.137,0.133,0.098,0.126,0.141,bands_4
mlr,0.411,0.485,0.422,0.735,0.626,0.443,0.631,0.42,0.496,0.65,0.119,0.118,0.133,0.098,0.124,0.107,0.113,0.145,0.115,0.159,bands_5
mlr,0.621,0.572,0.624,0.401,0.263,0.207,0.232,0.367,0.297,0.132,0.149,0.15,0.106,0.143,0.148,0.152,0.167,0.136,0.156,0.162,bands_1
mlr,0.526,0.491,0.699,0.728,0.277,0.694,0.442,0.135,0.606,0.441,0.144,0.129,0.103,0.083,0.109,0.14,0.155,0.14,0.145,0.127,bands_2
mlr,0.489,0.0,0.62,0.589,0.0,0.662,0.738,0.496,0.48,0.237,0.161,0.163,0.141,0.123,0.127,0.109,0.098,0.14,0.137,0.154,bands_3
mlr,0.216,0.572,0.549,0.497,0.423,0.518,0.366,0.523,0.28,0.616,0.169,0.153,0.131,0.155,0.132,0.147,0.141,0.133,0.101,0.109,bands_4
mlr,0.484,0.51,0.155,0.52,0.476,0.411,0.353,0.485,0.232,0.445,0.142,0.169,0.157,0.146,0.117,0.151,0.103,0.175,0.128,0.123,bands_5
rf,0.614,0.501,0.649,0.565,0.0,0.235,0.485,0.387,0.575,0.29,0.185,0.139,0.12,0.117,0.172,0.135,0.129,0.095,0.154,0.12,bands_1
rf,0.363,0.187,0.257,0.513,0.478,0.308,0.444,0.0,0.521,0.381,0.167,0.168,0.139,0.155,0.146,0.147,0.141,0.18,0.144,0.147,bands_2
rf,0.276,0.387,0.359,0.308,0.312,0.285,0.353,0.264,0.441,0.377,0.135,0.145,0.159,0.185,0.166,0.157,0.144,0.151,0.139,0.177,bands_3
rf,0.141,0.15,0.436,0.295,0.434,0.166,0.304,0.22,0.269,0.283,0.181,0.16,0.161,0.157,0.146,0.162,0.168,0.195,0.164,0.139,bands_4
rf,0.215,0.369,0.272,0.269,0.347,0.161,0.181,0.16,0.392,0.286,0.172,0.167,0.163,0.175,0.152,0.166,0.15,0.174,0.169,0.152,bands_5
rf,0.634,0.205,0.0,0.358,0.52,0.719,0.0,0.675,0.266,0.43,0.149,0.171,0.126,0.139,0.117,0.11,0.194,0.108,0.163,0.143,bands_1
rf,0.545,0.757,0.577,0.363,0.561,0.664,0.063,0.552,0.679,0.318,0.108,0.103,0.113,0.147,0.121,0.147,0.18,0.128,0.116,0.128,bands_2
rf,0.335,0.225,0.535,0.747,0.733,0.163,0.734,0.44,0.533,0.587,0.136,0.163,0.136,0.092,0.098,0.16,0.097,0.14,0.145,0.142,bands_3
rf,0.635,0.628,0.533,0.519,0.373,0.804,0.599,0.362,0.537,0.244,0.148,0.11,0.139,0.124,0.147,0.092,0.111,0.136,0.138,0.132,bands_4
rf,0.589,0.288,0.472,0.388,0.431,0.556,0.451,0.607,0.646,0.613,0.115,0.138,0.143,0.129,0.112,0.12,0.15,0.104,0.128,0.159,bands_5
rf,0.334,0.477,0.647,0.582,0.502,0.385,0.397,0.221,0.514,0.364,0.172,0.14,0.11,0.125,0.145,0.139,0.154,0.133,0.158,0.133,bands_1
rf,0.838,0.316,0.587,0.0,0.579,0.318,0.535,0.533,0.492,0.603,0.078,0.154,0.108,0.132,0.151,0.14,0.135,0.161,0.137,0.119,bands_2
rf,0.629,0.501,0.449,0.56,0.507,0.586,0.422,0.413,0.432,0.332,0.148,0.144,0.152,0.118,0.127,0.137,0.128,0.124,0.131,0.133,bands_3
rf,0.502,0.716,0.524,0.432,0.281,0.727,0.328,0.494,0.538,0.575,0.127,0.088,0.158,0.149,0.125,0.111,0.131,0.136,0.137,0.121,bands_4
rf,0.644,0.225,0.519,0.703,0.361,0.636,0.33,0.643,0.623,0.458,0.117,0.126,0.136,0.121,0.134,0.153,0.166,0.1,0.114,0.115,bands_5
svr,0.266,0.643,0.223,0.451,0.518,0.475,0.25,0.251,0.591,0.49,0.15,0.117,0.157,0.137,0.161,0.144,0.128,0.146,0.129,0.14,bands_1
svr,0.512,0.503,0.553,0.541,0.51,0.476,0.307,0.509,0.184,0.641,0.128,0.122,0.141,0.123,0.145,0.137,0.172,0.117,0.177,0.121,bands_2
svr,0.444,0.483,0.511,0.317,0.352,0.351,0.543,0.367,0.429,0.592,0.162,0.148,0.144,0.151,0.123,0.137,0.133,0.146,0.138,0.135,bands_3
svr,0.421,0.372,0.382,0.366,0.492,0.469,0.357,0.376,0.386,0.352,0.142,0.151,0.15,0.166,0.151,0.128,0.152,0.167,0.151,0.129,bands_4
